Loaded /home/judson/Neural-Networks-in-GNC/inverted_pendulum/training/controller_base.pth as base controller
average_normalized/constant/controllers/controller_255.pth saved with loss: 2.6876649856567383
average_normalized/constant/controllers/controller_256.pth saved with loss: 2.686913013458252
average_normalized/constant/controllers/controller_257.pth saved with loss: 2.6861672401428223
average_normalized/constant/controllers/controller_258.pth saved with loss: 2.68542742729187
average_normalized/constant/controllers/controller_259.pth saved with loss: 2.68469500541687
average_normalized/constant/controllers/controller_260.pth saved with loss: 2.6839683055877686
average_normalized/constant/controllers/controller_261.pth saved with loss: 2.6832470893859863
average_normalized/constant/controllers/controller_262.pth saved with loss: 2.6825318336486816
average_normalized/constant/controllers/controller_263.pth saved with loss: 2.6818180084228516
average_normalized/constant/controllers/controller_264.pth saved with loss: 2.6811089515686035
average_normalized/constant/controllers/controller_265.pth saved with loss: 2.680405616760254
average_normalized/constant/controllers/controller_266.pth saved with loss: 2.679706573486328
average_normalized/constant/controllers/controller_267.pth saved with loss: 2.679011106491089
average_normalized/constant/controllers/controller_268.pth saved with loss: 2.6783196926116943
average_normalized/constant/controllers/controller_269.pth saved with loss: 2.6776342391967773
average_normalized/constant/controllers/controller_270.pth saved with loss: 2.676954984664917
average_normalized/constant/controllers/controller_271.pth saved with loss: 2.676284074783325
average_normalized/constant/controllers/controller_272.pth saved with loss: 2.675619602203369
average_normalized/constant/controllers/controller_273.pth saved with loss: 2.6749632358551025
average_normalized/constant/controllers/controller_274.pth saved with loss: 2.674314260482788
average_normalized/constant/controllers/controller_275.pth saved with loss: 2.673673391342163
average_normalized/constant/controllers/controller_276.pth saved with loss: 2.673041820526123
average_normalized/constant/controllers/controller_277.pth saved with loss: 2.6724178791046143
average_normalized/constant/controllers/controller_278.pth saved with loss: 2.671802043914795
average_normalized/constant/controllers/controller_279.pth saved with loss: 2.671194314956665
average_normalized/constant/controllers/controller_280.pth saved with loss: 2.670593738555908
average_normalized/constant/controllers/controller_281.pth saved with loss: 2.67000150680542
average_normalized/constant/controllers/controller_282.pth saved with loss: 2.669417142868042
average_normalized/constant/controllers/controller_283.pth saved with loss: 2.668840169906616
average_normalized/constant/controllers/controller_284.pth saved with loss: 2.668271064758301
average_normalized/constant/controllers/controller_285.pth saved with loss: 2.6677098274230957
average_normalized/constant/controllers/controller_286.pth saved with loss: 2.66715669631958
average_normalized/constant/controllers/controller_287.pth saved with loss: 2.6666152477264404
average_normalized/constant/controllers/controller_288.pth saved with loss: 2.666081428527832
average_normalized/constant/controllers/controller_289.pth saved with loss: 2.6655545234680176
average_normalized/constant/controllers/controller_290.pth saved with loss: 2.665034532546997
average_normalized/constant/controllers/controller_291.pth saved with loss: 2.664520025253296
average_normalized/constant/controllers/controller_292.pth saved with loss: 2.6640119552612305
average_normalized/constant/controllers/controller_293.pth saved with loss: 2.66351056098938
average_normalized/constant/controllers/controller_294.pth saved with loss: 2.6630144119262695
average_normalized/constant/controllers/controller_295.pth saved with loss: 2.6625235080718994
average_normalized/constant/controllers/controller_296.pth saved with loss: 2.6620378494262695
average_normalized/constant/controllers/controller_297.pth saved with loss: 2.661557197570801
average_normalized/constant/controllers/controller_298.pth saved with loss: 2.6610805988311768
average_normalized/constant/controllers/controller_299.pth saved with loss: 2.6606087684631348
average_normalized/constant/controllers/controller_300.pth saved with loss: 2.660140037536621
average_normalized/constant/controllers/controller_301.pth saved with loss: 2.6596760749816895
average_normalized/constant/controllers/controller_302.pth saved with loss: 2.6592161655426025
average_normalized/constant/controllers/controller_303.pth saved with loss: 2.6587600708007812
average_normalized/constant/controllers/controller_304.pth saved with loss: 2.6583075523376465
average_normalized/constant/controllers/controller_305.pth saved with loss: 2.6578586101531982
average_normalized/constant/controllers/controller_306.pth saved with loss: 2.6574130058288574
average_normalized/constant/controllers/controller_307.pth saved with loss: 2.656970739364624
average_normalized/constant/controllers/controller_308.pth saved with loss: 2.656531572341919
average_normalized/constant/controllers/controller_309.pth saved with loss: 2.6560957431793213
average_normalized/constant/controllers/controller_310.pth saved with loss: 2.655663251876831
average_normalized/constant/controllers/controller_311.pth saved with loss: 2.6552340984344482
average_normalized/constant/controllers/controller_312.pth saved with loss: 2.6548075675964355
average_normalized/constant/controllers/controller_313.pth saved with loss: 2.6543848514556885
average_normalized/constant/controllers/controller_314.pth saved with loss: 2.6539647579193115
average_normalized/constant/controllers/controller_315.pth saved with loss: 2.653547525405884
average_normalized/constant/controllers/controller_316.pth saved with loss: 2.6531336307525635
average_normalized/constant/controllers/controller_317.pth saved with loss: 2.6527230739593506
average_normalized/constant/controllers/controller_318.pth saved with loss: 2.652315139770508
average_normalized/constant/controllers/controller_319.pth saved with loss: 2.6519100666046143
average_normalized/constant/controllers/controller_320.pth saved with loss: 2.651507616043091
average_normalized/constant/controllers/controller_321.pth saved with loss: 2.6511080265045166
average_normalized/constant/controllers/controller_322.pth saved with loss: 2.650712013244629
average_normalized/constant/controllers/controller_323.pth saved with loss: 2.6503193378448486
average_normalized/constant/controllers/controller_324.pth saved with loss: 2.649928569793701
average_normalized/constant/controllers/controller_325.pth saved with loss: 2.649540901184082
average_normalized/constant/controllers/controller_326.pth saved with loss: 2.649155616760254
average_normalized/constant/controllers/controller_327.pth saved with loss: 2.648772716522217
average_normalized/constant/controllers/controller_328.pth saved with loss: 2.648392677307129
average_normalized/constant/controllers/controller_329.pth saved with loss: 2.648014783859253
average_normalized/constant/controllers/controller_330.pth saved with loss: 2.647639036178589
average_normalized/constant/controllers/controller_331.pth saved with loss: 2.647265672683716
average_normalized/constant/controllers/controller_332.pth saved with loss: 2.6468944549560547
