Random seed for torch and numpy: 4529
Epoch 255/5001 | Loss: 2622.416260 | Time: 1.5464 sec
Epoch 256/5001 | Loss: 2621.927246 | Time: 1.5752 sec
Epoch 257/5001 | Loss: 2621.444336 | Time: 1.6165 sec
Epoch 258/5001 | Loss: 2620.966797 | Time: 1.5160 sec
Epoch 259/5001 | Loss: 2620.494385 | Time: 1.5066 sec
Epoch 260/5001 | Loss: 2620.028320 | Time: 1.5988 sec
Epoch 261/5001 | Loss: 2619.567383 | Time: 1.5103 sec
Epoch 262/5001 | Loss: 2619.113770 | Time: 1.6051 sec
Epoch 263/5001 | Loss: 2618.664551 | Time: 1.5466 sec
Epoch 264/5001 | Loss: 2618.218018 | Time: 1.6505 sec
Epoch 265/5001 | Loss: 2617.777100 | Time: 1.5179 sec
Epoch 266/5001 | Loss: 2617.339355 | Time: 1.5442 sec
Epoch 267/5001 | Loss: 2616.906982 | Time: 1.6072 sec
Epoch 268/5001 | Loss: 2616.479492 | Time: 1.5686 sec
Epoch 269/5001 | Loss: 2616.055664 | Time: 1.5376 sec
Epoch 270/5001 | Loss: 2615.636719 | Time: 1.5702 sec
Epoch 271/5001 | Loss: 2615.220703 | Time: 1.5263 sec
Epoch 272/5001 | Loss: 2614.806641 | Time: 1.5723 sec
Epoch 273/5001 | Loss: 2614.396729 | Time: 1.3945 sec
Epoch 274/5001 | Loss: 2613.988770 | Time: 1.5418 sec
Epoch 275/5001 | Loss: 2613.584717 | Time: 1.5047 sec
Epoch 276/5001 | Loss: 2613.183350 | Time: 1.5458 sec
Epoch 277/5001 | Loss: 2612.786133 | Time: 1.6371 sec
Epoch 278/5001 | Loss: 2612.391846 | Time: 1.5153 sec
Epoch 279/5001 | Loss: 2612.000488 | Time: 1.5258 sec
Epoch 280/5001 | Loss: 2611.613525 | Time: 1.5146 sec
Epoch 281/5001 | Loss: 2611.228271 | Time: 1.5959 sec
Epoch 282/5001 | Loss: 2610.846191 | Time: 1.5399 sec
Epoch 283/5001 | Loss: 2610.468506 | Time: 1.5258 sec
Epoch 284/5001 | Loss: 2610.092285 | Time: 1.6112 sec
Epoch 285/5001 | Loss: 2609.720215 | Time: 1.5432 sec
Epoch 286/5001 | Loss: 2609.350830 | Time: 1.5445 sec
Epoch 287/5001 | Loss: 2608.985352 | Time: 1.5792 sec
Epoch 288/5001 | Loss: 2608.620605 | Time: 1.5498 sec
Epoch 289/5001 | Loss: 2608.261230 | Time: 1.5495 sec
Epoch 290/5001 | Loss: 2607.905029 | Time: 1.4435 sec
Epoch 291/5001 | Loss: 2607.551270 | Time: 1.6188 sec
Epoch 292/5001 | Loss: 2607.200439 | Time: 1.4722 sec
Epoch 293/5001 | Loss: 2606.851807 | Time: 1.3857 sec
Epoch 294/5001 | Loss: 2606.506836 | Time: 1.7000 sec
Epoch 295/5001 | Loss: 2606.164551 | Time: 1.5451 sec
Epoch 296/5001 | Loss: 2605.824463 | Time: 1.4035 sec
Epoch 297/5001 | Loss: 2605.487061 | Time: 1.6468 sec
Epoch 298/5001 | Loss: 2605.151855 | Time: 1.5233 sec
Epoch 299/5001 | Loss: 2604.821045 | Time: 1.5018 sec
Epoch 300/5001 | Loss: 2604.491943 | Time: 1.5593 sec
Epoch 301/5001 | Loss: 2604.165771 | Time: 1.6219 sec
Epoch 302/5001 | Loss: 2603.842529 | Time: 1.4520 sec
Epoch 303/5001 | Loss: 2603.521484 | Time: 1.5474 sec
Epoch 304/5001 | Loss: 2603.203613 | Time: 1.6193 sec
Epoch 305/5001 | Loss: 2602.889160 | Time: 1.5462 sec
Epoch 306/5001 | Loss: 2602.576904 | Time: 1.5071 sec
Epoch 307/5001 | Loss: 2602.268799 | Time: 1.6187 sec
Epoch 308/5001 | Loss: 2601.968262 | Time: 1.5389 sec
Epoch 309/5001 | Loss: 2601.671875 | Time: 1.5431 sec
Epoch 310/5001 | Loss: 2601.380127 | Time: 1.5471 sec
Epoch 311/5001 | Loss: 2601.090088 | Time: 1.6394 sec
Epoch 312/5001 | Loss: 2600.803223 | Time: 1.5532 sec
Epoch 313/5001 | Loss: 2600.520020 | Time: 1.5486 sec
Epoch 314/5001 | Loss: 2600.239258 | Time: 1.6087 sec
Epoch 315/5001 | Loss: 2599.959473 | Time: 1.5376 sec
Epoch 316/5001 | Loss: 2599.682861 | Time: 1.5442 sec
